accession,taxid
NC_077016.1,2547312
NC_077014.1,2219873
NC_077008.1,2073044
NC_077007.1,2170423
NC_077005.1,459305
NC_077004.1,2204155
NC_076997.1,12204
NC_076995.1,1295080
NC_076967.1,2597325
NC_076966.1,2604840
NC_076965.1,3118716
NC_076964.1,173566
NC_076963.1,2341050
NC_076948.1,11041
NC_076938.1,1272948
NC_076937.1,2686073
NC_076936.1,864692
NC_076935.1,380436
NC_076934.1,864694
NC_076933.1,864695
NC_076932.1,380432
NC_076931.1,864698
NC_076918.1,1216472
NC_076910.1,870588
NC_076884.1,2283237
NC_076869.1,2315721
NC_076867.1,1256869
NC_076854.1,1569061
NC_076852.1,2748378
NC_076825.1,33761
NC_076728.1,307466
NC_076725.1,2664558
NC_076720.1,2598784
NC_076716.1,2650000
NC_076715.1,3071279
NC_076713.1,2596746
NC_076712.1,3071214
NC_076692.1,2594175
NC_076687.1,2562808
NC_076686.1,2571313
NC_076685.1,1906673
NC_076684.1,1906673
NC_076683.1,2605718
NC_076682.1,2605775
NC_076668.1,2501222
NC_076667.1,2501221
NC_076666.1,2501220
NC_076665.1,2501219
NC_076664.1,2501216
NC_076663.1,2501280
NC_076662.1,2501273
NC_076661.1,2501272
NC_076660.1,2501271
NC_076659.1,1284208
NC_076657.1,2016400
NC_076655.1,2606569
NC_076654.1,2501658
NC_076653.1,2597809
NC_076652.1,307448
NC_076651.1,2497445
NC_076650.1,2497444
NC_076649.1,2546225
NC_076648.1,2546224
NC_076638.1,2248769
NC_076637.1,1705352
NC_076636.1,1423347
NC_076635.1,2315578
NC_076634.1,2511840
NC_076633.1,2586033
NC_076631.1,2358294
NC_076630.1,1908380
NC_076625.1,1300978
NC_076624.1,1300978
NC_076623.1,1678145
NC_076622.1,2086643
NC_076607.1,2590572
NC_076606.1,2599303
NC_076605.1,2486281
NC_076604.1,2364128
NC_076603.1,2108357
NC_076599.1,1849538
NC_076598.1,1985188
NC_076597.1,1497434
NC_076592.1,1678143
NC_076588.1,1859166
NC_076587.1,1859165
NC_076575.1,1676469
NC_076555.1,1133727
NC_076513.1,83440
NC_076512.1,10295
NC_076510.1,2358214
NC_076509.1,39944
NC_076504.1,1955137
NC_076496.1,1983771
NC_076493.1,2202565
NC_076480.1,2202565
NC_076479.1,1329650
